OP_CARRIER,OP_CARRIER_FL_NUM,FL_DAY,FL_WEEK,ORIGIN_INDEX,DEST_INDEX,CRS_DEP_TIME_MIN,CRS_ARR_TIME_MIN,CRS_ELAPSED_TIME,O_TEMP,O_PRCP,O_WSPD,D_TEMP,D_PRCP,D_WSPD,O_LATITUDE,O_LONGITUDE,D_LATITUDE,D_LONGITUDE,ARR_DELAY,DELAYED
EV,4157.0,8,3,IAH,RDU,720,943,163.0,23.3,0.0,0.0,24.4,0.0,5.4,29.98047,-95.33972,35.87764,-78.78747,-23.0,1
NK,2258.0,9,1,SJU,MCO,480,598,178.0,23.3,0.0,0.0,25.6,0.0,40.7,18.43942,-66.00183,28.42889,-81.31603,-5.0,0
WN,2056.0,6,7,ATL,JAX,590,660,70.0,16.7,0.0,0.0,25.6,0.0,0.0,33.64044,-84.42694,30.49406,-81.68786,-17.0,1
UA,2220.0,4,2,ORD,DEN,864,969,165.0,1.7,0.0,38.9,-12.2,0.3,11.2,41.9796,-87.90446,39.85841,-104.667,-9.0,0
G4,1774.0,1,3,PBG,FLL,709,918,209.0,0.0,0.0,16.6,20.6,0.0,5.4,44.650833,-73.468056,26.07258,-80.15275,-10.0,0
UA,1644.0,2,1,IAH,MCO,875,1073,138.0,21.1,0.0,13.0,25.0,0.0,20.5,29.98047,-95.33972,28.42889,-81.31603,-16.0,1
AA,1764.0,6,3,CLT,PBI,1335,6,111.0,14.4,0.0,16.6,27.2,0.0,22.3,35.21401,-80.94313,26.68316,-80.09559,-19.0,1
OO,3568.0,9,4,SAT,SLC,855,969,174.0,23.3,0.0,5.4,14.4,0.0,9.4,29.53369,-98.46978,40.78839,-111.97777,-6.0,0
MQ,3641.0,7,2,DBQ,ORD,689,749,60.0,10.5,0.0,7.6,13.3,0.0,9.4,42.40296,-90.70917,41.9796,-87.90446,-34.0,1
NK,619.0,3,1,IAH,SAN,1315,1406,211.0,22.2,0.0,22.3,16.7,0.0,18.4,29.98047,-95.33972,32.73356,-117.18966,-7.0,0
UA,492.0,6,7,EWR,IAH,350,529,239.0,2.8,0.0,22.3,9.4,0.3,0.0,40.6925,-74.16866,29.98047,-95.33972,-11.0,0
UA,323.0,9,4,IAH,SEA,580,740,280.0,27.8,0.0,11.2,15.0,0.0,9.4,29.98047,-95.33972,47.44898,-122.30931,-6.0,0
MQ,3856.0,8,3,SUX,DFW,923,1051,128.0,17.8,0.0,27.7,31.1,0.0,22.3,42.4026,-96.38437,32.89595,-97.0372,-35.0,1
9E,4806.0,9,1,DTW,RIC,1270,1372,102.0,26.7,0.0,22.3,18.3,0.0,5.4,42.21206,-83.34884,37.50517,-77.31967,-23.0,1
AA,1618.0,7,4,SEA,PHX,692,870,178.0,7.2,0.0,0.0,27.8,0.0,13.0,47.44898,-122.30931,33.43417,-112.00806,-24.0,1
DL,1092.0,4,6,DTW,SEA,940,1070,310.0,2.8,0.0,16.6,6.1,0.0,29.5,42.21206,-83.34884,47.44898,-122.30931,-13.0,0
WN,2476.0,2,1,PHX,MDW,1160,1410,190.0,31.7,0.0,9.4,8.3,0.0,16.6,33.43417,-112.00806,41.78598,-87.75242,-2.0,0
DL,1402.0,8,7,LAS,ATL,888,1299,231.0,12.2,0.0,18.4,16.7,0.0,14.8,36.08036,-115.15233,33.64044,-84.42694,1.0,0
WN,279.0,5,2,DAL,PHX,1110,1150,160.0,25.0,0.0,18.4,35.0,0.0,5.4,32.84711,-96.85177,33.43417,-112.00806,-18.0,1
WN,152.0,8,7,OAK,BOI,1125,1275,90.0,15.6,0.0,24.1,0.6,0.0,5.4,37.72129,-122.22072,43.56444,-116.22278,-6.0,0
9E,4908.0,8,3,MSP,OMA,670,759,89.0,-16.7,0.0,18.4,-6.7,0.0,16.6,44.88055,-93.21692,41.30252,-95.89417,-22.0,1
OH,5629.0,3,6,CLT,HSV,1085,1109,84.0,20.6,0.0,9.4,20.6,0.0,5.4,35.21401,-80.94313,34.64045,-86.77311,-10.0,0
WN,4145.0,2,6,OAK,MDW,370,740,250.0,15.6,0.0,16.6,15.0,0.0,16.6,37.72129,-122.22072,41.78598,-87.75242,-32.0,1
OO,3513.0,5,2,TUS,LAX,485,584,99.0,21.1,0.0,7.6,18.3,0.0,0.0,32.11608,-110.94103,33.94254,-118.40807,-21.0,1
NK,486.0,5,7,LAS,SEA,987,1139,152.0,33.3,0.0,5.4,20.0,0.0,7.6,36.08036,-115.15233,47.44898,-122.30931,6.0,0
WN,6956.0,8,1,DAL,TPA,655,855,140.0,26.7,0.0,5.4,30.0,0.0,16.6,32.84711,-96.85177,27.97547,-82.53325,11.0,0
DL,1178.0,9,4,CHS,ATL,475,540,65.0,23.9,0.0,7.6,22.2,0.0,5.4,32.89865,-80.04051,33.64044,-84.42694,-10.0,0
9E,5212.0,2,4,CVG,MSP,405,462,117.0,7.2,0.0,5.4,7.8,0.0,24.1,39.04614,-84.66217,44.88055,-93.21692,-4.0,0
WN,47.0,2,1,DAL,HOU,1080,1155,75.0,20.0,0.0,11.2,25.0,0.0,25.9,32.84711,-96.85177,29.64542,-95.27889,-20.0,1
UA,1421.0,5,1,TPA,DEN,672,775,223.0,23.3,0.0,7.6,12.8,0.0,14.8,27.97547,-82.53325,39.85841,-104.667,8.0,0
YX,6097.0,5,7,SDF,DTW,460,553,93.0,0.6,0.0,13.0,0.6,0.0,16.6,38.17439,-85.736,42.21206,-83.34884,-19.0,1
UA,789.0,1,3,PDX,DEN,400,607,147.0,10.6,0.0,14.8,-1.1,0.0,16.6,45.58872,-122.5975,39.85841,-104.667,-15.0,0
YV,5841.0,3,4,DFW,DSM,535,650,115.0,2.2,0.0,13.0,-5.0,0.0,13.0,32.89595,-97.0372,41.53493,-93.66068,-13.0,0
AA,1659.0,9,5,CLT,SFO,784,932,328.0,16.1,0.0,11.2,15.6,0.0,5.4,35.21401,-80.94313,37.619,-122.37484,-5.0,0
OO,3477.0,4,4,ONT,PDX,480,618,138.0,19.4,0.0,7.6,13.3,0.0,0.0,34.056,-117.60119,45.58872,-122.5975,-21.0,1
AA,452.0,1,7,PHX,ONT,520,539,79.0,15.6,0.0,11.2,14.4,0.0,9.4,33.43417,-112.00806,34.056,-117.60119,-7.0,0
OO,5300.0,6,5,SFO,SLC,1105,1277,112.0,14.4,0.0,35.3,23.3,0.0,22.3,37.619,-122.37484,40.78839,-111.97777,-8.0,0
WN,2683.0,6,7,DAL,BHM,1055,1145,90.0,13.3,0.0,31.7,13.3,0.0,16.6,32.84711,-96.85177,33.56294,-86.75355,-5.0,0
YV,6024.0,9,3,CLT,IAH,435,535,160.0,23.3,0.0,13.0,25.6,0.0,9.4,35.21401,-80.94313,29.98047,-95.33972,-25.0,1
AA,1607.0,9,7,DFW,CLE,1225,5,160.0,35.6,0.0,25.9,23.9,0.0,9.4,32.89595,-97.0372,41.41089,-81.8494,-12.0,0
AA,88.0,2,4,CLT,PHL,481,589,108.0,6.1,0.0,5.4,-2.2,0.0,0.0,35.21401,-80.94313,39.87195,-75.24114,47.0,1
DL,2572.0,7,2,TLH,ATL,1080,1158,78.0,18.9,0.0,18.4,13.3,0.0,20.5,30.39653,-84.35033,33.64044,-84.42694,-13.0,0
WN,1212.0,3,4,SLC,PHX,550,585,95.0,18.3,0.0,11.2,32.8,0.0,5.4,40.78839,-111.97777,33.43417,-112.00806,1.0,0
AS,441.0,3,2,SFO,PDX,735,850,115.0,12.2,0.0,0.0,8.9,0.0,11.2,37.619,-122.37484,45.58872,-122.5975,-31.0,1
DL,1764.0,3,5,DCA,MSP,865,983,178.0,9.4,0.0,14.8,0.6,0.0,0.0,38.85208,-77.03772,44.88055,-93.21692,-29.0,1
WN,3758.0,7,6,LAS,PHX,970,1100,70.0,16.7,0.0,9.4,23.9,0.0,14.8,36.08036,-115.15233,33.43417,-112.00806,-12.0,0
AA,952.0,6,5,ATL,LGA,928,1064,136.0,10.0,0.0,20.5,6.0,0.0,22.3,33.64044,-84.42694,40.77724,-73.87261,-18.0,1
NK,107.0,9,7,ATL,FLL,1140,1257,117.0,11.1,0.0,13.0,23.9,0.0,31.7,33.64044,-84.42694,26.07258,-80.15275,-19.0,1
NK,6.0,2,2,FLL,ORD,840,980,200.0,29.4,0.0,22.3,28.3,0.0,22.3,26.07258,-80.15275,41.9796,-87.90446,-16.0,1
AA,1774.0,3,6,DFW,CLT,1230,1439,149.0,27.8,0.0,20.5,15.6,0.0,7.6,32.89595,-97.0372,35.21401,-80.94313,-25.0,1
UA,1231.0,2,1,HNL,LAX,420,868,328.0,22.2,0.0,16.6,11.1,0.0,0.0,21.31869,-157.92241,33.94254,-118.40807,8.0,0
B6,1384.0,8,7,RDU,BOS,735,851,116.0,-2.2,0.0,0.0,3.9,0.0,22.3,35.87764,-78.78747,42.36435,-71.00518,-28.0,1
OO,3152.0,3,2,PHX,SLC,1121,1223,102.0,30.0,0.0,7.6,20.0,0.0,13.0,33.43417,-112.00806,40.78839,-111.97777,40.0,1
WN,552.0,8,5,HNL,ITO,480,545,65.0,23.3,0.0,14.8,22.8,0.0,7.6,21.31869,-157.92241,19.72026,-155.04847,-22.0,1
AS,494.0,1,6,SEA,SAT,720,1078,238.0,11.1,5.1,31.7,18.9,0.0,14.8,47.44898,-122.30931,29.53369,-98.46978,30.0,1
MQ,3353.0,6,1,ABI,DFW,303,362,59.0,5.6,0.0,0.0,7.8,0.0,13.0,32.41132,-99.6819,32.89595,-97.0372,-2.0,0
MQ,3804.0,9,1,CMH,ORD,1237,1265,88.0,18.3,0.0,22.3,13.3,0.8,29.5,39.99799,-82.89188,41.9796,-87.90446,3.0,0
AA,943.0,7,5,STT,MIA,954,1081,187.0,28.9,0.0,27.7,20.0,0.3,16.6,18.33731,-64.97336,25.79325,-80.29056,-16.0,1
OO,5986.0,9,4,MCI,IAH,900,1039,139.0,13.9,0.0,46.4,22.8,0.0,25.9,39.29761,-94.71391,29.98047,-95.33972,-16.0,1
AA,2005.0,9,1,STL,PHL,530,723,133.0,13.9,0.0,16.6,5.0,0.0,13.0,38.74769,-90.35999,39.87195,-75.24114,-20.0,1
DL,1118.0,9,4,MSP,PHX,675,834,219.0,-5.0,0.0,18.4,8.9,0.0,14.8,44.88055,-93.21692,33.43417,-112.00806,11.0,0
HA,26.0,8,2,HNL,PDX,835,1355,340.0,25.6,0.0,13.0,26.7,0.0,46.4,21.31869,-157.92241,45.58872,-122.5975,2.0,0
AA,2817.0,1,6,ORD,CLT,826,1001,115.0,1.7,0.0,14.8,6.7,0.0,7.6,41.9796,-87.90446,35.21401,-80.94313,-19.0,1
EV,4050.0,5,7,IAH,CLL,875,925,50.0,11.7,0.0,13.0,11.7,0.0,16.6,29.98047,-95.33972,30.58859,-96.36382,-10.0,0
