Pattern,ItemIDs,Utility,Size
CRS_DEP_TIME_MIN=High + D_TEMP=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1241, 1272, 1286, 1292]",81138,4
O_LATITUDE=VeryHigh + O_TEMP=VeryLow + O_LONGITUDE=VeryHigh,"[1287, 1253, 1292]",81041,3
CRS_ELAPSED_TIME=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1252, 1247, 1242]",80476,3
CRS_ARR_TIME_MIN=High + D_TEMP=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1246, 1272, 1286, 1292]",80379,4
CRS_ELAPSED_TIME=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1252, 1247, 1292]",79173,3
OP_CARRIER=9E + O_LONGITUDE=VeryHigh,"[1, 1292]",79096,2
ORIGIN_INDEX=EWR + CRS_DEP_TIME_MIN=High + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[988, 1241, 1286, 1292]",78867,4
FL_WEEK=2 + O_LONGITUDE=VeryHigh,"[933, 1292]",78460,2
D_TEMP=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1272, 1242]",78085,2
D_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1282, 1247, 1242]",77358,3
D_LONGITUDE=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1302, 1286, 1292]",76657,3
D_WSPD=VeryHigh + CRS_ELAPSED_TIME=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1282, 1252, 1286, 1292]",76409,4
D_LATITUDE=High + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1296, 1247, 1242]",76007,3
CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + D_TEMP=VeryHigh,"[1241, 1246, 1272]",75711,3
O_PRCP=VeryLow + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1258, 1286, 1292]",75332,3
CRS_ARR_TIME_MIN=High + D_TEMP=VeryHigh,"[1246, 1272]",75098,2
ORIGIN_INDEX=EWR + D_TEMP=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[988, 1272, 1286, 1292]",74650,4
O_TEMP=VeryHigh + D_TEMP=VeryHigh,"[1257, 1272]",74030,2
ORIGIN_INDEX=JFK + CRS_ELAPSED_TIME=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1014, 1252, 1286, 1292]",73953,4
CRS_ARR_TIME_MIN=VeryHigh + O_LATITUDE=High,"[1247, 1286]",73463,2
CRS_ARR_TIME_MIN=High + CRS_ELAPSED_TIME=High + D_TEMP=VeryHigh + O_LONGITUDE=VeryHigh,"[1246, 1251, 1272, 1292]",73301,4
D_TEMP=VeryHigh + CRS_ELAPSED_TIME=VeryHigh + O_LONGITUDE=VeryHigh,"[1272, 1252, 1292]",72581,3
O_WSPD=High + CRS_ELAPSED_TIME=High + O_LONGITUDE=VeryHigh,"[1266, 1251, 1292]",72475,3
CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + CRS_ELAPSED_TIME=High + O_LONGITUDE=VeryHigh,"[1241, 1246, 1251, 1292]",72432,4
O_TEMP=VeryHigh + O_LONGITUDE=VeryHigh,"[1257, 1292]",72271,2
CRS_DEP_TIME_MIN=High + D_TEMP=VeryHigh,"[1241, 1272]",71816,2
CRS_DEP_TIME_MIN=High + CRS_ELAPSED_TIME=High + O_LONGITUDE=VeryHigh,"[1241, 1251, 1292]",71566,3
CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + D_TEMP=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1241, 1246, 1272, 1286, 1292]",71366,5
O_WSPD=High + D_TEMP=VeryHigh + O_LONGITUDE=VeryHigh,"[1266, 1272, 1292]",71202,3
OP_CARRIER=9E + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1, 1286, 1292]",71117,3
O_TEMP=VeryLow + O_LATITUDE=High,"[1253, 1286]",70971,2
CRS_DEP_TIME_MIN=High + CRS_ELAPSED_TIME=High + D_TEMP=VeryHigh + O_LONGITUDE=VeryHigh,"[1241, 1251, 1272, 1292]",70367,4
D_LONGITUDE=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1302, 1247, 1242]",69780,3
O_LATITUDE=VeryHigh + O_TEMP=VeryLow,"[1287, 1253]",69727,2
CRS_ELAPSED_TIME=High + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1251, 1247, 1242, 1292]",69381,4
CRS_DEP_TIME_MIN=High,[1241],69122,1
O_LATITUDE=VeryHigh + D_LONGITUDE=VeryHigh + O_LONGITUDE=VeryHigh,"[1287, 1302, 1292]",69026,3
D_LATITUDE=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1297, 1286, 1292]",68798,3
CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + CRS_ELAPSED_TIME=High + D_TEMP=VeryHigh + O_LONGITUDE=VeryHigh,"[1241, 1246, 1251, 1272, 1292]",68743,5
O_WSPD=High + D_TEMP=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1266, 1272, 1286, 1292]",68687,4
CRS_ARR_TIME_MIN=High + CRS_ELAPSED_TIME=High + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1246, 1251, 1286, 1292]",68303,4
O_WSPD=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1267, 1242, 1292]",68137,3
CRS_DEP_TIME_MIN=High + O_WSPD=VeryHigh,"[1241, 1267]",68023,2
O_TEMP=VeryLow + O_WSPD=VeryHigh + O_LONGITUDE=VeryHigh,"[1253, 1267, 1292]",67987,3
CRS_ELAPSED_TIME=High + CRS_ARR_TIME_MIN=VeryHigh,"[1251, 1247]",67805,2
CRS_ARR_TIME_MIN=High + CRS_ELAPSED_TIME=VeryHigh + O_LONGITUDE=VeryHigh,"[1246, 1252, 1292]",67789,3
D_LONGITUDE=VeryHigh + CRS_ELAPSED_TIME=VeryHigh,"[1302, 1252]",66902,2
CRS_ARR_TIME_MIN=VeryLow + CRS_DEP_TIME_MIN=VeryHigh,"[1243, 1242]",66781,2
D_LATITUDE=High + CRS_DEP_TIME_MIN=VeryHigh,"[1296, 1242]",66608,2
D_LONGITUDE=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1302, 1242]",66545,2
D_LATITUDE=VeryHigh + O_LONGITUDE=VeryHigh,"[1297, 1292]",66229,2
O_TEMP=VeryLow + CRS_ELAPSED_TIME=VeryHigh,"[1253, 1252]",66087,2
O_TEMP=VeryHigh + D_TEMP=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1257, 1272, 1247, 1242]",65861,4
CRS_DEP_TIME_MIN=High + CRS_ELAPSED_TIME=High + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1241, 1251, 1286, 1292]",65632,4
O_TEMP=VeryHigh + D_TEMP=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1257, 1272, 1242]",65430,3
OP_CARRIER=DL + CRS_ELAPSED_TIME=VeryHigh,"[5, 1252]",65216,2
CRS_ELAPSED_TIME=High + O_LATITUDE=High,"[1251, 1286]",65134,2
CRS_ELAPSED_TIME=High + D_TEMP=VeryHigh,"[1251, 1272]",65023,2
O_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1267, 1247, 1292]",64253,3
D_WSPD=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1282, 1242]",64241,2
D_TEMP=VeryHigh + CRS_ELAPSED_TIME=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1272, 1252, 1286, 1292]",64211,4
ORIGIN_INDEX=JFK + CRS_ELAPSED_TIME=VeryHigh + O_LONGITUDE=VeryHigh,"[1014, 1252, 1292]",64172,3
FL_WEEK=2 + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[933, 1286, 1292]",64097,3
D_LONGITUDE=VeryHigh + D_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1302, 1296, 1292]",63842,3
CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + O_WSPD=VeryHigh + O_LONGITUDE=VeryHigh,"[1241, 1246, 1267, 1292]",63645,4
CRS_ARR_TIME_MIN=High + O_WSPD=VeryHigh + O_LONGITUDE=VeryHigh,"[1246, 1267, 1292]",63544,3
O_TEMP=VeryHigh,[1257],63267,1
CRS_ELAPSED_TIME=High + CRS_DEP_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1251, 1242, 1292]",62862,3
OP_CARRIER=DL,[5],62582,1
ORIGIN_INDEX=EWR + CRS_DEP_TIME_MIN=High + D_TEMP=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[988, 1241, 1272, 1286, 1292]",62505,5
ORIGIN_INDEX=LGA + O_TEMP=VeryLow + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1020, 1253, 1286, 1292]",62421,4
O_TEMP=VeryLow + O_WSPD=VeryHigh,"[1253, 1267]",62408,2
CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + CRS_ELAPSED_TIME=High + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1241, 1246, 1251, 1286, 1292]",62388,5
ORIGIN_INDEX=EWR + CRS_DEP_TIME_MIN=High + O_LONGITUDE=VeryHigh,"[988, 1241, 1292]",62205,3
ORIGIN_INDEX=EWR + CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[988, 1241, 1246, 1286, 1292]",61993,5
D_PRCP=VeryLow,[1273],61659,1
CRS_ELAPSED_TIME=High + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1251, 1247, 1242, 1286, 1292]",61299,5
D_TEMP=VeryHigh + O_LATITUDE=High,"[1272, 1286]",61254,2
OP_CARRIER=B6 + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[4, 1286, 1292]",60757,3
CRS_ELAPSED_TIME=High + CRS_ARR_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1251, 1247, 1292]",60669,3
D_PRCP=VeryLow + O_LONGITUDE=VeryHigh,"[1273, 1292]",59938,2
ORIGIN_INDEX=EWR + D_TEMP=VeryHigh + O_LONGITUDE=VeryHigh,"[988, 1272, 1292]",59897,3
CRS_DEP_TIME_MIN=High + O_LATITUDE=High,"[1241, 1286]",59757,2
O_LATITUDE=VeryHigh + CRS_ELAPSED_TIME=VeryHigh + O_LONGITUDE=VeryHigh,"[1287, 1252, 1292]",59675,3
CRS_ARR_TIME_MIN=VeryLow + CRS_ELAPSED_TIME=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1243, 1252, 1242]",59670,3
OP_CARRIER=DL + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[5, 1247, 1242]",59460,3
D_TEMP=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh,"[1272, 1247]",59378,2
O_LATITUDE=VeryHigh,[1287],59323,1
D_TEMP=VeryHigh + O_WSPD=VeryHigh,"[1272, 1267]",59078,2
ORIGIN_INDEX=LGA + CRS_ELAPSED_TIME=High + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1020, 1251, 1286, 1292]",59010,4
D_WSPD=VeryHigh + CRS_ELAPSED_TIME=VeryHigh,"[1282, 1252]",58845,2
CRS_ELAPSED_TIME=High + O_WSPD=VeryHigh,"[1251, 1267]",58805,2
D_TEMP=VeryHigh + CRS_ELAPSED_TIME=VeryHigh,"[1272, 1252]",58545,2
D_LATITUDE=High + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1296, 1286, 1292]",58510,3
FL_WEEK=3 + O_LONGITUDE=VeryHigh,"[934, 1292]",58491,2
CRS_DEP_TIME_MIN=High + CRS_ELAPSED_TIME=VeryHigh,"[1241, 1252]",58430,2
OP_CARRIER=AA + CRS_ELAPSED_TIME=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[2, 1252, 1242]",58395,3
O_TEMP=VeryLow + CRS_ELAPSED_TIME=High,"[1253, 1251]",58388,2
OP_CARRIER=DL + CRS_ELAPSED_TIME=VeryHigh + O_LONGITUDE=VeryHigh,"[5, 1252, 1292]",58306,3
OP_CARRIER=DL + CRS_ELAPSED_TIME=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[5, 1252, 1286, 1292]",58254,4
D_WSPD=VeryHigh + O_TEMP=VeryLow + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1282, 1253, 1286, 1292]",58214,4
CRS_ELAPSED_TIME=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1252, 1247, 1286, 1292]",58208,4
D_WSPD=Low + O_LONGITUDE=VeryHigh,"[1279, 1292]",58119,2
CRS_ARR_TIME_MIN=Mid + CRS_ELAPSED_TIME=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1245, 1252, 1286, 1292]",58052,4
O_LATITUDE=VeryHigh + O_WSPD=VeryHigh + O_LONGITUDE=VeryHigh,"[1287, 1267, 1292]",57778,3
ORIGIN_INDEX=EWR + CRS_ARR_TIME_MIN=High + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[988, 1246, 1286, 1292]",57730,4
CRS_ELAPSED_TIME=High + CRS_ARR_TIME_MIN=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1251, 1247, 1286, 1292]",57472,4
O_TEMP=VeryLow + CRS_ELAPSED_TIME=High + O_LONGITUDE=VeryHigh,"[1253, 1251, 1292]",57314,3
D_LATITUDE=High,[1296],57007,1
CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + O_WSPD=VeryHigh,"[1241, 1246, 1267]",56870,3
D_TEMP=VeryHigh + O_WSPD=VeryHigh + O_LONGITUDE=VeryHigh,"[1272, 1267, 1292]",56805,3
OP_CARRIER=DL + CRS_DEP_TIME_MIN=VeryHigh,"[5, 1242]",56701,2
OP_CARRIER=AA + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[2, 1286, 1292]",56616,3
ORIGIN_INDEX=LGA + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1020, 1247, 1242, 1286, 1292]",56605,5
D_LONGITUDE=VeryHigh + O_WSPD=VeryHigh,"[1302, 1267]",56564,2
CRS_DEP_TIME_MIN=High + CRS_ELAPSED_TIME=High + D_TEMP=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1241, 1251, 1272, 1286, 1292]",56440,5
CRS_DEP_TIME_MIN=High + CRS_ELAPSED_TIME=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1241, 1252, 1286, 1292]",56321,4
OP_CARRIER=B6 + D_LONGITUDE=VeryHigh + O_LONGITUDE=VeryHigh,"[4, 1302, 1292]",55862,3
O_WSPD=High + CRS_ELAPSED_TIME=High + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1266, 1251, 1286, 1292]",55736,4
D_LONGITUDE=VeryHigh + CRS_ELAPSED_TIME=High,"[1302, 1251]",55605,2
O_WSPD=High + CRS_ELAPSED_TIME=VeryHigh + O_LONGITUDE=VeryHigh,"[1266, 1252, 1292]",55567,3
O_TEMP=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh,"[1257, 1247]",55467,2
D_WSPD=VeryHigh + O_TEMP=VeryLow + O_LONGITUDE=VeryHigh,"[1282, 1253, 1292]",55416,3
OP_CARRIER=AA + CRS_ELAPSED_TIME=VeryHigh + O_LONGITUDE=VeryHigh,"[2, 1252, 1292]",55235,3
CRS_ELAPSED_TIME=High + O_WSPD=VeryHigh + O_LONGITUDE=VeryHigh,"[1251, 1267, 1292]",54960,3
CRS_ARR_TIME_MIN=Mid + CRS_ELAPSED_TIME=VeryHigh + O_LONGITUDE=VeryHigh,"[1245, 1252, 1292]",54921,3
O_WSPD=High + CRS_ARR_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1266, 1247, 1292]",54816,3
O_WSPD=High + CRS_DEP_TIME_MIN=High + O_LONGITUDE=VeryHigh,"[1266, 1241, 1292]",54705,3
O_LATITUDE=VeryHigh + D_LONGITUDE=VeryHigh,"[1287, 1302]",54655,2
CRS_ELAPSED_TIME=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1252, 1242, 1292]",54307,3
O_LATITUDE=VeryHigh + D_TEMP=VeryHigh + O_LONGITUDE=VeryHigh,"[1287, 1272, 1292]",54228,3
O_WSPD=High + CRS_ELAPSED_TIME=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1266, 1252, 1286, 1292]",54211,4
O_LONGITUDE=VeryHigh,[1292],540144,1
O_LATITUDE=VeryHigh + D_LONGITUDE=VeryHigh + D_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1287, 1302, 1296, 1292]",53883,4
CRS_ELAPSED_TIME=VeryHigh + O_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1252, 1267, 1247, 1292]",53600,4
D_LONGITUDE=VeryHigh + D_TEMP=VeryHigh + O_LONGITUDE=VeryHigh,"[1302, 1272, 1292]",53555,3
CRS_ARR_TIME_MIN=High + CRS_ELAPSED_TIME=VeryHigh,"[1246, 1252]",53416,2
O_TEMP=VeryLow + CRS_ELAPSED_TIME=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1253, 1252, 1286, 1292]",53198,4
CRS_ARR_TIME_MIN=High + O_WSPD=VeryHigh,"[1246, 1267]",53175,2
D_LONGITUDE=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh,"[1302, 1247]",53068,2
ORIGIN_INDEX=LGA + CRS_ARR_TIME_MIN=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1020, 1247, 1286, 1292]",53040,4
CRS_ARR_TIME_MIN=High,[1246],53036,1
O_TEMP=VeryHigh + CRS_ARR_TIME_MIN=High + O_LONGITUDE=VeryHigh,"[1257, 1246, 1292]",52821,3
CRS_ELAPSED_TIME=VeryHigh + O_WSPD=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1252, 1267, 1242]",52771,3
D_LONGITUDE=VeryHigh + D_LATITUDE=High + CRS_DEP_TIME_MIN=VeryHigh,"[1302, 1296, 1242]",52743,3
D_LONGITUDE=VeryHigh + D_TEMP=VeryHigh,"[1302, 1272]",52741,2
FL_WEEK=2 + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[933, 1247, 1242, 1286, 1292]",52711,5
ORIGIN_INDEX=EWR + CRS_ELAPSED_TIME=High + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[988, 1251, 1286, 1292]",52514,4
CRS_ELAPSED_TIME=High + D_TEMP=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1251, 1272, 1286, 1292]",52356,4
ORIGIN_INDEX=EWR + CRS_DEP_TIME_MIN=High + CRS_ELAPSED_TIME=High + D_TEMP=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[988, 1241, 1251, 1272, 1286, 1292]",52316,6
O_PRCP=VeryLow + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1258, 1247, 1242]",52304,3
CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + O_LATITUDE=High,"[1241, 1246, 1286]",52282,3
FL_WEEK=2 + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[933, 1247, 1242, 1292]",52232,4
O_WSPD=High + CRS_ARR_TIME_MIN=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1266, 1247, 1286, 1292]",51990,4
OP_CARRIER=B6 + O_WSPD=VeryHigh + O_LONGITUDE=VeryHigh,"[4, 1267, 1292]",51925,3
OP_CARRIER=9E,[1],51796,1
CRS_ELAPSED_TIME=High + CRS_DEP_TIME_MIN=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1251, 1242, 1286, 1292]",51748,4
D_LONGITUDE=VeryHigh + D_LATITUDE=High + CRS_ELAPSED_TIME=VeryHigh,"[1302, 1296, 1252]",51678,3
O_WSPD=High + CRS_DEP_TIME_MIN=High + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1266, 1241, 1286, 1292]",51622,4
ORIGIN_INDEX=EWR + O_LATITUDE=High,"[988, 1286]",51461,2
O_TEMP=VeryLow + D_LONGITUDE=VeryHigh,"[1253, 1302]",51434,2
O_PRCP=VeryLow + CRS_DEP_TIME_MIN=VeryHigh,"[1258, 1242]",51377,2
O_LATITUDE=VeryHigh + D_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1287, 1296, 1292]",51360,3
OP_CARRIER=AA + CRS_ARR_TIME_MIN=VeryHigh,"[2, 1247]",51269,2
CRS_ELAPSED_TIME=VeryHigh + O_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh,"[1252, 1267, 1247]",51252,3
ORIGIN_INDEX=LGA + O_TEMP=VeryLow + O_LONGITUDE=VeryHigh,"[1020, 1253, 1292]",51172,3
O_LATITUDE=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1287, 1247, 1242]",51141,3
D_LONGITUDE=VeryHigh + CRS_DEP_TIME_MIN=High,"[1302, 1241]",51130,2
O_TEMP=VeryLow + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1253, 1247, 1242, 1286, 1292]",51071,5
O_PRCP=VeryLow + O_LATITUDE=High,"[1258, 1286]",51007,2
O_LATITUDE=VeryHigh + O_WSPD=VeryHigh,"[1287, 1267]",50945,2
O_TEMP=VeryLow + CRS_ARR_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1253, 1247, 1292]",50783,3
CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + CRS_ELAPSED_TIME=High + D_TEMP=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1241, 1246, 1251, 1272, 1286, 1292]",50706,6
O_TEMP=VeryLow + CRS_DEP_TIME_MIN=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1253, 1242, 1286, 1292]",50663,4
CRS_DEP_TIME_MIN=High + CRS_ELAPSED_TIME=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1241, 1252, 1247, 1292]",50624,4
