Pattern,ItemIDs,Utility,Size
D_LONGITUDE=VeryLow + O_LONGITUDE=VeryLow + D_LATITUDE=VeryLow + O_LATITUDE=VeryLow + O_TEMP=High + O_PRCP=VeryLow,"[1298, 1288, 1293, 1283, 1256, 1258]",9991,6
CRS_DEP_TIME_MIN=VeryLow + O_LATITUDE=Low + D_PRCP=VeryLow,"[1238, 1284, 1273]",9988,3
O_WSPD=Low + D_LONGITUDE=Mid + O_LONGITUDE=Low,"[1264, 1300, 1289]",9988,3
O_LATITUDE=VeryLow + D_TEMP=VeryLow + O_TEMP=Mid + O_LONGITUDE=High + D_PRCP=VeryLow,"[1283, 1268, 1255, 1291, 1273]",9988,5
D_LATITUDE=Mid + CRS_ARR_TIME_MIN=Low + O_LONGITUDE=Mid + O_PRCP=VeryLow,"[1295, 1244, 1290, 1258]",9987,4
OP_CARRIER=UA + CRS_ARR_TIME_MIN=Low + CRS_DEP_TIME_MIN=Low + O_PRCP=VeryLow,"[13, 1244, 1239, 1258]",9987,4
OP_CARRIER=OO + D_LATITUDE=Low + O_LONGITUDE=Low + D_WSPD=Mid + O_PRCP=VeryLow,"[12, 1294, 1289, 1280, 1258]",9987,5
D_LATITUDE=Mid + CRS_ARR_TIME_MIN=Low + CRS_DEP_TIME_MIN=Low + O_LONGITUDE=Mid,"[1295, 1244, 1239, 1290]",9987,4
DEST_INDEX=SAN + D_LONGITUDE=VeryLow + D_LATITUDE=VeryLow + OP_CARRIER=WN + O_PRCP=VeryLow,"[1213, 1298, 1293, 14, 1258]",9986,5
CRS_ELAPSED_TIME=VeryLow + D_TEMP=VeryLow + OP_CARRIER=WN + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1248, 1268, 14, 1258, 1273]",9986,5
D_TEMP=VeryLow + O_TEMP=Mid + O_LONGITUDE=Low + D_PRCP=VeryLow,"[1268, 1255, 1289, 1273]",9986,4
CRS_DEP_TIME_MIN=Low + CRS_ELAPSED_TIME=Low + O_LONGITUDE=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1239, 1249, 1289, 1258, 1273]",9985,5
O_WSPD=High + CRS_DEP_TIME_MIN=Mid + O_LONGITUDE=Low + O_PRCP=VeryLow,"[1266, 1240, 1289, 1258]",9985,4
OP_CARRIER=YX + D_TEMP=Low + CRS_ELAPSED_TIME=Low,"[15, 1269, 1249]",9985,3
O_LATITUDE=VeryHigh + O_LONGITUDE=VeryLow + CRS_DEP_TIME_MIN=Mid,"[1287, 1288, 1240]",9984,3
CRS_ELAPSED_TIME=VeryLow + O_TEMP=Low + CRS_ARR_TIME_MIN=Low + CRS_DEP_TIME_MIN=Low,"[1248, 1254, 1244, 1239]",9983,4
D_LATITUDE=VeryLow + O_LONGITUDE=Low + D_WSPD=Mid + D_PRCP=VeryLow,"[1293, 1289, 1280, 1273]",9983,4
CRS_ELAPSED_TIME=VeryLow + D_TEMP=VeryLow + OP_CARRIER=WN,"[1248, 1268, 14]",9983,3
FL_DAY=27 + O_LONGITUDE=High,"[927, 1291]",9982,2
D_LATITUDE=VeryLow + CRS_DEP_TIME_MIN=Low + O_LONGITUDE=Low + D_PRCP=VeryLow,"[1293, 1239, 1289, 1273]",9982,4
CRS_ARR_TIME_MIN=Low + CRS_DEP_TIME_MIN=Low + O_WSPD=Low + CRS_ELAPSED_TIME=Low,"[1244, 1239, 1264, 1249]",9982,4
D_WSPD=VeryLow + O_TEMP=Mid + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1278, 1255, 1258, 1273]",9982,4
OP_CARRIER=HA + D_LONGITUDE=VeryLow + O_LONGITUDE=VeryLow + CRS_ELAPSED_TIME=VeryLow + O_LATITUDE=VeryLow + O_PRCP=VeryLow + D_PRCP=VeryLow,"[8, 1298, 1288, 1248, 1283, 1258, 1273]",9982,7
CRS_DEP_TIME_MIN=Low + O_LATITUDE=Low + O_TEMP=High + D_PRCP=VeryLow,"[1239, 1284, 1256, 1273]",9981,4
OP_CARRIER=OO + D_LONGITUDE=VeryLow + CRS_ELAPSED_TIME=VeryLow + O_PRCP=VeryLow + D_PRCP=VeryLow,"[12, 1298, 1248, 1258, 1273]",9980,5
OP_CARRIER=OO + D_WSPD=High + D_LONGITUDE=VeryLow + O_LONGITUDE=VeryLow + CRS_ELAPSED_TIME=Low,"[12, 1281, 1298, 1288, 1249]",9980,5
CRS_ARR_TIME_MIN=Low + CRS_DEP_TIME_MIN=Low + O_WSPD=Low + O_LONGITUDE=High + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1244, 1239, 1264, 1291, 1258, 1273]",9979,6
D_LATITUDE=Mid + O_LATITUDE=Low + D_LONGITUDE=Low + O_LONGITUDE=Low + O_PRCP=VeryLow,"[1295, 1284, 1299, 1289, 1258]",9978,5
CRS_ARR_TIME_MIN=Low + CRS_DEP_TIME_MIN=Low + O_WSPD=Mid + O_TEMP=High + D_PRCP=VeryLow,"[1244, 1239, 1265, 1256, 1273]",9976,5
OP_CARRIER=YX + CRS_DEP_TIME_MIN=VeryLow + D_LONGITUDE=High,"[15, 1238, 1301]",9976,3
CRS_ELAPSED_TIME=Mid + OP_CARRIER=UA + O_LONGITUDE=Mid + O_PRCP=VeryLow,"[1250, 13, 1290, 1258]",9976,4
OP_CARRIER=OH + CRS_ARR_TIME_MIN=Low + CRS_DEP_TIME_MIN=Low + D_PRCP=VeryLow,"[11, 1244, 1239, 1273]",9975,4
CRS_ELAPSED_TIME=VeryLow + CRS_DEP_TIME_MIN=Low + O_LATITUDE=Mid + O_PRCP=VeryLow,"[1248, 1239, 1285, 1258]",9975,4
O_WSPD=High + CRS_DEP_TIME_MIN=VeryLow,"[1266, 1238]",9975,2
CRS_ELAPSED_TIME=VeryLow + CRS_ARR_TIME_MIN=Low + D_LONGITUDE=Mid + O_PRCP=VeryLow,"[1248, 1244, 1300, 1258]",9973,4
OP_CARRIER=YX + O_TEMP=Low + CRS_ELAPSED_TIME=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[15, 1254, 1249, 1258, 1273]",9972,5
CRS_DEP_TIME_MIN=VeryLow + O_LONGITUDE=High + O_WSPD=Mid,"[1238, 1291, 1265]",9972,3
ORIGIN_INDEX=SLC + OP_CARRIER=OO + O_LONGITUDE=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1078, 12, 1289, 1258, 1273]",9972,5
FL_WEEK=6 + O_LATITUDE=VeryLow + O_LONGITUDE=Mid + D_PRCP=VeryLow,"[937, 1283, 1290, 1273]",9972,4
CRS_ARR_TIME_MIN=Mid + D_PRCP=VeryLow,"[1245, 1273]",9971,2
ORIGIN_INDEX=SEA + O_LONGITUDE=VeryLow + O_WSPD=Mid + O_PRCP=VeryLow,"[1073, 1288, 1265, 1258]",9971,4
CRS_ARR_TIME_MIN=Low + D_TEMP=VeryLow + CRS_DEP_TIME_MIN=Low + O_LONGITUDE=Low + D_PRCP=VeryLow,"[1244, 1268, 1239, 1289, 1273]",9970,5
O_TEMP=Mid + O_LATITUDE=Mid + D_WSPD=Mid + O_PRCP=VeryLow,"[1255, 1285, 1280, 1258]",9970,4
D_WSPD=High + CRS_ELAPSED_TIME=VeryLow + O_LATITUDE=Low + D_LONGITUDE=Low + D_PRCP=VeryLow,"[1281, 1248, 1284, 1299, 1273]",9970,5
O_LONGITUDE=VeryLow + O_TEMP=Low + CRS_DEP_TIME_MIN=Low + O_WSPD=Low + O_PRCP=VeryLow,"[1288, 1254, 1239, 1264, 1258]",9969,5
O_LONGITUDE=VeryLow + CRS_ELAPSED_TIME=VeryLow + OP_CARRIER=WN + O_TEMP=High + D_PRCP=VeryLow,"[1288, 1248, 14, 1256, 1273]",9969,5
D_LONGITUDE=VeryLow + D_LATITUDE=VeryLow + OP_CARRIER=WN + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1298, 1293, 14, 1258, 1273]",9969,5
FL_DAY=25 + O_LONGITUDE=VeryLow + O_TEMP=Low,"[925, 1288, 1254]",9969,3
O_TEMP=VeryHigh + D_LATITUDE=Mid + CRS_ELAPSED_TIME=VeryLow + O_LONGITUDE=High,"[1257, 1295, 1248, 1291]",9968,4
O_TEMP=Low + D_TEMP=VeryLow + O_LATITUDE=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1254, 1268, 1284, 1258, 1273]",9968,5
ORIGIN_INDEX=SFO,[1074],9968,1
CRS_ARR_TIME_MIN=VeryLow + O_LONGITUDE=Mid + O_TEMP=High + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1243, 1290, 1256, 1258, 1273]",9967,5
OP_CARRIER=YX + CRS_DEP_TIME_MIN=Mid + O_LATITUDE=Mid,"[15, 1240, 1285]",9967,3
OP_CARRIER=HA + O_LONGITUDE=VeryLow + CRS_ELAPSED_TIME=VeryLow + D_LATITUDE=VeryLow + O_LATITUDE=VeryLow + O_TEMP=High,"[8, 1288, 1248, 1293, 1283, 1256]",9967,6
OP_CARRIER=YX + FL_WEEK=7 + CRS_ELAPSED_TIME=Low,"[15, 938, 1249]",9966,3
ORIGIN_INDEX=SEA + O_LONGITUDE=VeryLow + CRS_ELAPSED_TIME=VeryLow + D_PRCP=VeryLow,"[1073, 1288, 1248, 1273]",9965,4
FL_DAY=27 + O_LATITUDE=VeryLow + O_PRCP=VeryLow,"[927, 1283, 1258]",9965,3
D_WSPD=VeryHigh + OP_CARRIER=WN + O_TEMP=High,"[1282, 14, 1256]",9965,3
D_WSPD=High + O_LONGITUDE=VeryLow + CRS_ELAPSED_TIME=Low + O_TEMP=High + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1281, 1288, 1249, 1256, 1258, 1273]",9965,6
ORIGIN_INDEX=ATL + D_WSPD=High + O_LATITUDE=Low + O_LONGITUDE=High + CRS_ELAPSED_TIME=Low,"[948, 1281, 1284, 1291, 1249]",9964,5
DEST_INDEX=SFO + O_LONGITUDE=Low,"[1219, 1289]",9964,2
ORIGIN_INDEX=SEA + OP_CARRIER=OO + O_LONGITUDE=VeryLow + O_PRCP=VeryLow,"[1073, 12, 1288, 1258]",9963,4
O_LATITUDE=VeryHigh + CRS_DEP_TIME_MIN=VeryLow,"[1287, 1238]",9962,2
D_WSPD=VeryLow + D_LATITUDE=Low + O_LONGITUDE=Low + D_PRCP=VeryLow,"[1278, 1294, 1289, 1273]",9962,4
O_LATITUDE=Mid + OP_CARRIER=WN + D_LONGITUDE=Low + O_LONGITUDE=Low + O_PRCP=VeryLow,"[1285, 14, 1299, 1289, 1258]",9961,5
DEST_INDEX=TPA + D_LATITUDE=VeryLow + D_LONGITUDE=High + D_PRCP=VeryLow,"[1230, 1293, 1301, 1273]",9961,4
O_WSPD=Low + D_LONGITUDE=High + O_LONGITUDE=Low + O_PRCP=VeryLow,"[1264, 1301, 1289, 1258]",9961,4
CRS_ELAPSED_TIME=Mid + O_LONGITUDE=Mid + O_WSPD=Mid + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1250, 1290, 1265, 1258, 1273]",9961,5
CRS_ELAPSED_TIME=VeryLow + D_LONGITUDE=High + D_WSPD=Mid + O_PRCP=VeryLow,"[1248, 1301, 1280, 1258]",9961,4
D_LONGITUDE=High + CRS_ELAPSED_TIME=Low + O_TEMP=High + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1301, 1249, 1256, 1258, 1273]",9960,5
D_WSPD=High + OP_CARRIER=WN + O_WSPD=Low + O_PRCP=VeryLow,"[1281, 14, 1264, 1258]",9960,4
D_TEMP=VeryLow + O_LONGITUDE=Mid + D_LONGITUDE=Low + D_PRCP=VeryLow,"[1268, 1290, 1299, 1273]",9959,4
O_WSPD=VeryLow + CRS_ARR_TIME_MIN=Low + CRS_DEP_TIME_MIN=Low + CRS_ELAPSED_TIME=Low,"[1263, 1244, 1239, 1249]",9959,4
ORIGIN_INDEX=ATL + CRS_ELAPSED_TIME=VeryLow + O_LATITUDE=Low + D_LONGITUDE=Mid + O_LONGITUDE=High + O_WSPD=Mid + O_PRCP=VeryLow,"[948, 1248, 1284, 1300, 1291, 1265, 1258]",9959,7
OP_CARRIER=YX + D_TEMP=High + CRS_ARR_TIME_MIN=Low + CRS_DEP_TIME_MIN=Low + CRS_ELAPSED_TIME=Low + O_WSPD=Mid + O_PRCP=VeryLow + D_PRCP=VeryLow,"[15, 1271, 1244, 1239, 1249, 1265, 1258, 1273]",9959,8
D_LONGITUDE=Low + D_WSPD=Mid + D_PRCP=VeryLow,"[1299, 1280, 1273]",9958,3
FL_DAY=25 + O_TEMP=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[925, 1254, 1258, 1273]",9957,4
D_LATITUDE=Low + O_LATITUDE=Low + O_LONGITUDE=High + D_LONGITUDE=Low + O_PRCP=VeryLow,"[1294, 1284, 1291, 1299, 1258]",9956,5
ORIGIN_INDEX=SFO + D_LONGITUDE=VeryLow + O_LONGITUDE=VeryLow + O_LATITUDE=Mid + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1074, 1298, 1288, 1285, 1258, 1273]",9956,6
O_WSPD=High + D_LATITUDE=VeryLow + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1266, 1293, 1258, 1273]",9956,4
CRS_ELAPSED_TIME=VeryLow + D_LATITUDE=Low + D_LONGITUDE=High + O_PRCP=VeryLow,"[1248, 1294, 1301, 1258]",9955,4
D_LATITUDE=Mid + CRS_ELAPSED_TIME=Low + O_TEMP=High + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1295, 1249, 1256, 1258, 1273]",9955,5
OP_CARRIER=YX + CRS_DEP_TIME_MIN=Mid + O_LONGITUDE=Mid + O_TEMP=High,"[15, 1240, 1290, 1256]",9954,4
CRS_ELAPSED_TIME=VeryLow + D_LATITUDE=VeryLow + O_LATITUDE=VeryLow + O_TEMP=High,"[1248, 1293, 1283, 1256]",9953,4
O_TEMP=Mid + O_LONGITUDE=High + CRS_ELAPSED_TIME=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1255, 1291, 1249, 1258, 1273]",9952,5
CRS_ARR_TIME_MIN=VeryLow + O_LATITUDE=VeryLow + CRS_DEP_TIME_MIN=VeryLow + OP_CARRIER=WN + O_LONGITUDE=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1243, 1283, 1238, 14, 1289, 1258, 1273]",9952,7
OP_CARRIER=YX + O_WSPD=Low + D_LONGITUDE=High + O_PRCP=VeryLow,"[15, 1264, 1301, 1258]",9952,4
D_WSPD=VeryHigh + D_LONGITUDE=Mid + O_LONGITUDE=Low + O_PRCP=VeryLow,"[1282, 1300, 1289, 1258]",9951,4
FL_DAY=15 + O_LONGITUDE=High + O_PRCP=VeryLow,"[915, 1291, 1258]",9951,3
OP_CARRIER=OO + D_TEMP=VeryLow + D_LONGITUDE=Low + D_PRCP=VeryLow,"[12, 1268, 1299, 1273]",9951,4
OP_CARRIER=YX + CRS_ELAPSED_TIME=Low + O_TEMP=High + D_WSPD=Mid,"[15, 1249, 1256, 1280]",9950,4
O_LATITUDE=Mid + O_WSPD=Mid + O_LONGITUDE=Low + O_PRCP=VeryLow,"[1285, 1265, 1289, 1258]",9949,4
O_TEMP=VeryHigh + CRS_ELAPSED_TIME=VeryLow + O_LATITUDE=Mid + O_LONGITUDE=High,"[1257, 1248, 1285, 1291]",9948,4
FL_DAY=23 + O_TEMP=Mid,"[923, 1255]",9947,2
D_WSPD=High + O_LONGITUDE=High + O_WSPD=Mid + O_PRCP=VeryLow,"[1281, 1291, 1265, 1258]",9947,4
CRS_ARR_TIME_MIN=Low + O_TEMP=Mid + O_WSPD=Low + O_PRCP=VeryLow,"[1244, 1255, 1264, 1258]",9944,4
O_LONGITUDE=VeryLow + O_TEMP=Low + D_TEMP=VeryLow + CRS_DEP_TIME_MIN=Low + O_LATITUDE=Low,"[1288, 1254, 1268, 1239, 1284]",9944,5
CRS_ARR_TIME_MIN=VeryLow + OP_CARRIER=WN + D_LONGITUDE=Mid + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1243, 14, 1300, 1258, 1273]",9943,5
D_LATITUDE=VeryHigh + D_LONGITUDE=VeryLow + O_LONGITUDE=VeryLow + CRS_ELAPSED_TIME=Low,"[1297, 1298, 1288, 1249]",9943,4
CRS_ELAPSED_TIME=VeryLow + O_LATITUDE=VeryLow + D_WSPD=Mid,"[1248, 1283, 1280]",9943,3
DEST_INDEX=RIC + FL_DAY=22 + OP_CARRIER=YX + D_LONGITUDE=VeryHigh + D_TEMP=Mid + CRS_ELAPSED_TIME=VeryLow + O_WSPD=Mid + O_TEMP=High + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1207, 922, 15, 1302, 1270, 1248, 1265, 1256, 1258, 1273]",9942,10
OP_CARRIER=YX + CRS_ARR_TIME_MIN=Mid + CRS_DEP_TIME_MIN=Mid + O_PRCP=VeryLow + D_PRCP=VeryLow,"[15, 1245, 1240, 1258, 1273]",9942,5
OP_CARRIER=YX + O_LATITUDE=Mid + O_TEMP=High + D_PRCP=VeryLow,"[15, 1285, 1256, 1273]",9942,4
FL_DAY=28 + OP_CARRIER=YX + O_TEMP=High + O_PRCP=VeryLow,"[928, 15, 1256, 1258]",9942,4
O_TEMP=VeryHigh + O_LONGITUDE=Mid + D_WSPD=Mid + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1257, 1290, 1280, 1258, 1273]",9941,5
OP_CARRIER=YX + O_TEMP=Mid + O_LATITUDE=Mid + CRS_ELAPSED_TIME=Low,"[15, 1255, 1285, 1249]",9941,4
O_LONGITUDE=VeryLow + CRS_DEP_TIME_MIN=VeryLow + D_TEMP=Low + O_WSPD=Mid + O_PRCP=VeryLow,"[1288, 1238, 1269, 1265, 1258]",9941,5
D_TEMP=High + CRS_ARR_TIME_MIN=Low + CRS_DEP_TIME_MIN=Low + CRS_ELAPSED_TIME=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1271, 1244, 1239, 1249, 1258, 1273]",9941,6
D_LATITUDE=Low + CRS_ELAPSED_TIME=Low + O_LONGITUDE=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1294, 1249, 1289, 1258, 1273]",9940,5
O_WSPD=Low + CRS_ELAPSED_TIME=Low + O_LONGITUDE=Low + D_PRCP=VeryLow,"[1264, 1249, 1289, 1273]",9940,4
D_LATITUDE=Mid + CRS_DEP_TIME_MIN=Low + O_LONGITUDE=Mid + O_PRCP=VeryLow,"[1295, 1239, 1290, 1258]",9940,4
D_WSPD=VeryHigh + O_TEMP=High + O_LONGITUDE=Low,"[1282, 1256, 1289]",9939,3
O_LATITUDE=Low + D_LONGITUDE=Low + O_TEMP=High + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1284, 1299, 1256, 1258, 1273]",9938,5
D_LATITUDE=Mid + O_LONGITUDE=VeryLow + O_TEMP=Low + O_PRCP=VeryLow,"[1295, 1288, 1254, 1258]",9938,4
O_LONGITUDE=VeryLow + O_TEMP=Mid + D_LONGITUDE=High + O_PRCP=VeryLow,"[1288, 1255, 1301, 1258]",9937,4
ORIGIN_INDEX=STT + DEST_INDEX=SJU + FL_WEEK=6 + CRS_ELAPSED_TIME=VeryLow + D_LATITUDE=VeryLow + O_LATITUDE=VeryLow,"[1082, 1222, 937, 1248, 1293, 1283]",9937,6
D_WSPD=High + O_LONGITUDE=VeryLow + CRS_ELAPSED_TIME=Low + O_PRCP=VeryLow,"[1281, 1288, 1249, 1258]",9937,4
FL_WEEK=6 + CRS_DEP_TIME_MIN=VeryLow + O_PRCP=VeryLow + D_PRCP=VeryLow,"[937, 1238, 1258, 1273]",9937,4
O_LATITUDE=VeryHigh + D_LONGITUDE=VeryLow + CRS_ELAPSED_TIME=VeryLow + O_TEMP=Low + O_PRCP=VeryLow,"[1287, 1298, 1248, 1254, 1258]",9936,5
D_LONGITUDE=VeryLow + O_LONGITUDE=VeryLow + O_LATITUDE=Mid + OP_CARRIER=WN + D_PRCP=VeryLow,"[1298, 1288, 1285, 14, 1273]",9935,5
D_LATITUDE=VeryHigh + CRS_ARR_TIME_MIN=Low + CRS_DEP_TIME_MIN=Low + D_PRCP=VeryLow,"[1297, 1244, 1239, 1273]",9934,4
D_TEMP=Mid + CRS_ELAPSED_TIME=VeryLow + CRS_ARR_TIME_MIN=Low,"[1270, 1248, 1244]",9934,3
CRS_DEP_TIME_MIN=VeryLow + O_TEMP=Mid + D_LONGITUDE=High + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1238, 1255, 1301, 1258, 1273]",9933,5
D_LONGITUDE=VeryLow + O_TEMP=Mid + O_LATITUDE=Mid + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1298, 1255, 1285, 1258, 1273]",9933,5
FL_DAY=22 + D_WSPD=Mid + O_PRCP=VeryLow + D_PRCP=VeryLow,"[922, 1280, 1258, 1273]",9932,4
O_LONGITUDE=VeryLow + OP_CARRIER=WN + O_TEMP=High + D_PRCP=VeryLow,"[1288, 14, 1256, 1273]",9931,4
O_WSPD=VeryLow + O_LONGITUDE=VeryLow + D_TEMP=Low + D_PRCP=VeryLow,"[1263, 1288, 1269, 1273]",9931,4
D_LATITUDE=Mid + O_TEMP=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1295, 1254, 1258, 1273]",9931,4
O_TEMP=Low + D_LONGITUDE=High + O_LONGITUDE=Low,"[1254, 1301, 1289]",9930,3
O_LATITUDE=VeryLow + OP_CARRIER=WN + O_WSPD=Low,"[1283, 14, 1264]",9929,3
OP_CARRIER=OO + O_WSPD=Mid + D_PRCP=VeryLow,"[12, 1265, 1273]",9928,3
CRS_ELAPSED_TIME=Mid + O_LONGITUDE=Mid + O_WSPD=Mid,"[1250, 1290, 1265]",9928,3
CRS_DEP_TIME_MIN=VeryLow + O_LONGITUDE=High + O_WSPD=Mid + D_PRCP=VeryLow,"[1238, 1291, 1265, 1273]",9927,4
CRS_DEP_TIME_MIN=VeryLow + O_LATITUDE=Mid + CRS_ELAPSED_TIME=Low + D_PRCP=VeryLow,"[1238, 1285, 1249, 1273]",9927,4
CRS_ARR_TIME_MIN=VeryLow + O_LATITUDE=Mid + O_LONGITUDE=Mid + O_PRCP=VeryLow,"[1243, 1285, 1290, 1258]",9926,4
ORIGIN_INDEX=SEA + O_LATITUDE=VeryHigh + O_PRCP=VeryLow,"[1073, 1287, 1258]",9926,3
CRS_DEP_TIME_MIN=VeryLow + D_LATITUDE=Low + O_LONGITUDE=Mid,"[1238, 1294, 1290]",9926,3
CRS_DEP_TIME_MIN=Mid + O_LATITUDE=VeryLow + OP_CARRIER=WN,"[1240, 1283, 14]",9926,3
D_LATITUDE=Mid + O_TEMP=Mid + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1295, 1255, 1258, 1273]",9924,4
OP_CARRIER=UA + O_LONGITUDE=Low + D_WSPD=Mid + O_PRCP=VeryLow + D_PRCP=VeryLow,"[13, 1289, 1280, 1258, 1273]",9923,5
OP_CARRIER=OO + O_WSPD=High + D_LONGITUDE=Low + O_LONGITUDE=Low + O_PRCP=VeryLow,"[12, 1266, 1299, 1289, 1258]",9923,5
D_LONGITUDE=VeryLow + O_WSPD=Mid + D_PRCP=VeryLow,"[1298, 1265, 1273]",9922,3
ORIGIN_INDEX=SFO + OP_CARRIER=OO + D_LONGITUDE=VeryLow + O_LONGITUDE=VeryLow,"[1074, 12, 1298, 1288]",9921,4
ORIGIN_INDEX=STT + DEST_INDEX=SJU + FL_WEEK=6 + CRS_ELAPSED_TIME=VeryLow + O_LATITUDE=VeryLow,"[1082, 1222, 937, 1248, 1283]",9921,5
CRS_ELAPSED_TIME=VeryLow + CRS_ARR_TIME_MIN=Low + D_LATITUDE=Low,"[1248, 1244, 1294]",9920,3
FL_DAY=29 + OP_CARRIER=WN,"[929, 14]",9920,2
O_LATITUDE=Low + D_LONGITUDE=High + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1284, 1301, 1258, 1273]",9919,4
ORIGIN_INDEX=ATL + D_LONGITUDE=Mid + O_LONGITUDE=High + CRS_ELAPSED_TIME=Low + O_PRCP=VeryLow,"[948, 1300, 1291, 1249, 1258]",9919,5
OP_CARRIER=OO + D_LONGITUDE=VeryLow + O_LONGITUDE=VeryLow + O_LATITUDE=Mid + D_PRCP=VeryLow,"[12, 1298, 1288, 1285, 1273]",9918,5
ORIGIN_INDEX=STT + DEST_INDEX=SJU + CRS_ELAPSED_TIME=VeryLow + D_LATITUDE=VeryLow + O_LATITUDE=VeryLow,"[1082, 1222, 1248, 1293, 1283]",9917,5
OP_CARRIER=MQ + CRS_ELAPSED_TIME=VeryLow + O_LATITUDE=Low + D_LONGITUDE=Low + O_LONGITUDE=Low,"[9, 1248, 1284, 1299, 1289]",9917,5
D_WSPD=VeryHigh + OP_CARRIER=WN + O_TEMP=High + O_LONGITUDE=Low,"[1282, 14, 1256, 1289]",9916,4
O_TEMP=Mid + OP_CARRIER=WN + CRS_ELAPSED_TIME=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1255, 14, 1249, 1258, 1273]",9916,5
CRS_ELAPSED_TIME=Mid + CRS_DEP_TIME_MIN=Mid + O_LONGITUDE=Mid + O_PRCP=VeryLow,"[1250, 1240, 1290, 1258]",9915,4
OP_CARRIER=MQ + CRS_ELAPSED_TIME=VeryLow + D_LONGITUDE=Low + D_PRCP=VeryLow,"[9, 1248, 1299, 1273]",9913,4
D_LONGITUDE=VeryHigh + OP_CARRIER=WN + CRS_ELAPSED_TIME=Low,"[1302, 14, 1249]",9913,3
